"Algorithm","Ave","se","Min","Max"
"Super Learner",0.108845522412586,0.00210117855175007,0.0965652048937883,0.12262811191219
"Discrete SL",0.108836793858354,0.0021603486222591,0.0965048215140558,0.121948137278184
"SL.glm_All",0.169495867059543,0.00222319116579147,0.154430340381371,0.18004685505589
"SL.glmnet.0_All",0.169411435108117,0.00218893277171526,0.155356940379015,0.178589153854249
"SL.glmnet.1_All",0.16929152633393,0.00220680618661477,0.154667221725332,0.1791537595626
"SL.gam_All",0.153698703597791,0.0021892310070447,0.142742016169967,0.162807811399945
"SL.xgboost_All",0.108836793858354,0.0021603486222591,0.0965048215140558,0.121948137278184
"SL.randomForest_All",0.124080452595258,0.00291744653294842,0.108154986005089,0.143631513994911
"SL.rpartPrune_All",0.11654837326551,0.0023196454170161,0.100416989926381,0.137319909601316
"SL.polymars_All",0.109816669263664,0.00216780599476618,0.0975966335462929,0.121449071200561
"SL.nnet.2_All",0.196787833679121,0.00372101890845346,0.10359255672897,0.286259541984733
"SL.nnet.3_All",0.190327378627457,0.00371707337920754,0.103187956451214,0.286259541984733
"SL.nnet.4_All",0.218374942695197,0.00419575116742784,0.122089569781435,0.279898218829517
"SL.nnet.5_All",0.159118752405437,0.00343986686048907,0.0982246618264719,0.279898218829517
"SL.nnet.6_All",0.216728807890125,0.00426541432123138,0.0994316125055838,0.286259541984733
"SL.knn.10_All",0.111746184405287,0.00210927226250776,0.0994254974848541,0.122864551640153
"SL.knn.15_All",0.112825225417692,0.00209170341399848,0.0999941957072539,0.124507280876939
"SL.knn.20_All",0.115828250788029,0.0020669885356518,0.102841638942002,0.126835288836997
"SL.knn.25_All",0.117673627816145,0.00205915670305229,0.10522254621793,0.130154749894591
"SL.mean_All",0.197713968314576,0.00229471166134702,0.190056268256093,0.204591995710038
